,acousticness,album_id,analysis_url,artists_id,available_markets,country,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,track_name_prev,track_number,uri,valence,type,genre
88702,0.00701,6nf2P1xl5Z4qHdTAsdvo6B,https://api.spotify.com/v1/audio-analysis/4nUM7pGcTUK2pY1d2LybrT,['7jy3rLJdDQY21OgRLCZ9sD'],"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",AR,0.37,1.0,256600.0,0.9440000000000001,https://api.spotify.com/v1/tracks/4nUM7pGcTUK2pY1d2LybrT,4nUM7pGcTUK2pY1d2LybrT,2.8999999999999998e-06,1.0,0.135,-4.979,"

I've got another confession to make, I'm your fool
Everyone's got their chains to break, holdin' you
Were you born to resist or be abused?

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?

Are you gone and on to someone new?
I needed somewhere to hang my head without your noose
You gave me something that I didn't have, but had no use
I was too weak to give in, too strong to lose
My heart is under arrest again, but I break loose
My head is giving me life or death, but I can't choose
I swear I'll never give in, I refuse

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?
Has someone taken your faith?
It's real, the pain you feel
You trust, you must confess
Is someone getting the best
The best, the best, the best of you?
Oh, oh oh, oh oh

Has someone taken your faith?
It's real, the pain you feel
The life, the love you'd die to heal
The hope that starts the broken hearts
You trust, you must confess

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?

I've got another confession, my friend, I'm no fool
I'm getting tired of starting again somewhere new
Were you born to resist or be abused?
I swear I'll never give in, I refuse

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?
Has someone taken your faith?
It's real, the pain you feel
You trust, you must confess
Is someone getting the best
The best, the best, the best of you?
",0.0,Best of You,00s Rock Anthems,65.0,https://p.scdn.co/mp3-preview/a4ca5885cacb94cc7a86d5762e99efff607dbebc?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0767,130.315,4.0,https://api.spotify.com/v1/tracks/4nUM7pGcTUK2pY1d2LybrT,track_5,1.0,spotify:track:4nUM7pGcTUK2pY1d2LybrT,0.345,track,rock
88707,0.0506,0FZK97MXMm5mUQ8mtudjuK,https://api.spotify.com/v1/audio-analysis/7j31rVgGX9Q2blT92VBEA0,['7FBcuc1gsnv6Y1nwFtNRCb'],"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",AR,0.46299999999999997,1.0,161920.0,0.857,https://api.spotify.com/v1/tracks/7j31rVgGX9Q2blT92VBEA0,7j31rVgGX9Q2blT92VBEA0,0.0,4.0,0.184,-3.063,"

They're gonna clean up your looks
With all the lies in the books
To make a citizen out of you
Because they sleep with a gun
And keep an eye on you, son
So they can watch all the things you do
Because the drugs never work
They're gonna give you a smirk
'Cause they got methods of keeping you clean
They're gonna rip up your heads
Your aspirations to shreds
Another cog in the murder machine

They said ""All teenagers scare the living shit out of me
They could care less as long as someone'll bleed""
So, darken your clothes or strike a violent pose
Maybe they'll leave you alone, but not me

The boys and girls in the clique
The awful names that they stick
You're never gonna fit in much, kid
But if you're troubled and hurt
What you got under your shirt
Will make them pay for the things that they did

They said ""All teenagers scare the living shit out of me
They could care less as long as someone'll bleed""
So, darken your clothes or strike a violent pose
Maybe they'll leave you alone, but not me
Oh, yeah!


They said ""All teenagers scare the living shit out of me
They could care less as long as someone'll bleed""
So, darken your clothes or strike a violent pose
Maybe they'll leave you alone, but not me
All together now!
""Teenagers scare the living shit out of me
They could care less as long as someone'll bleed""
So, darken your clothes or strike a violent pose
Maybe they'll leave you alone, but not me
""Teenagers scare the living shit out of me
They could care less as long as someone'll bleed""
So, darken your clothes or strike a violent pose
Maybe they'll leave you alone, but not me
",1.0,Teenagers,00s Rock Anthems,77.0,https://p.scdn.co/mp3-preview/7e780e073cb38e63e13544cd28a80d1eec88a49c?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0632,111.647,4.0,https://api.spotify.com/v1/tracks/7j31rVgGX9Q2blT92VBEA0,track_8,11.0,spotify:track:7j31rVgGX9Q2blT92VBEA0,0.856,track,rock
88712,0.0027199999999999998,3UoOO8m0oxxvUHXUKf3qcZ,https://api.spotify.com/v1/audio-analysis/3l9CW99AHtExIRV4hW2N5m,['74XFHRwlV6OrjEM0A2NCMF'],"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']",AR,0.517,1.0,211520.0,0.9059999999999999,https://api.spotify.com/v1/tracks/3l9CW99AHtExIRV4hW2N5m,3l9CW99AHtExIRV4hW2N5m,9.26e-06,1.0,0.113,-3.677,"

Hit that, hit that snare

I'm in the business of misery, let's take it from the top
She's got a body like an hourglass, it's ticking like a clock
It's a matter of time before we all run out
When I thought he was mine, she caught him by the mouth
I waited eight long months, she finally set him free
I told him I couldn't lie, he was the only one for me
Two weeks and we caught on fire
She's got it out for me, but I wear the biggest smile

Whoa, I never meant to brag
But I got him where I want him now
Whoa, it was never my intention to brag
To steal it all away from you now
But God, does it feel so good
'Cause I got him where I want him now
And if you could, then you know you would
'Cause God, it just feels so
It just feels so good

Second chances, they don't ever matter, people never change
Once a whore you're nothing more
I'm sorry, that'll never change
And about forgiveness, we're both supposed to have exchanged
I'm sorry honey, but I passed it up, now look this way
Well, there's a million other girls who do it just like you
Looking as innocent as possible to get to who
They want and what they like
It's easy if you do it right
Well I refuse, I refuse, I refuse!

Whoa, I never meant to brag
But I got him where I want him now
Whoa, it was never my intention to brag
To steal it all away from you now
But God, does it feel so good
'Cause I got him where I want him right now
And if you could, then you know you would
'Cause God, it just feels so
It just feels so good

I watched his wildest dreams come true
And not one of them involving you
Just watch my wildest dreams come true
Not one of them involving

Whoa, I never meant to brag
But I got him where I want him now

Whoa, I never meant to brag
But I got him where I want him now
Whoa, it was never my intention to brag
To steal it all away from you now
But God, does it feel so good
'Cause I got him where I want him now
And if you could, then you know you would
'Cause God, it just feels so
It just feels so good
",1.0,Misery Business,00s Rock Anthems,70.0,https://p.scdn.co/mp3-preview/d008da9166a3cbb6022aa34498c051a84dfed8b1?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0735,172.977,4.0,https://api.spotify.com/v1/tracks/3l9CW99AHtExIRV4hW2N5m,track_17,4.0,spotify:track:3l9CW99AHtExIRV4hW2N5m,0.731,track,rock
88717,0.0141,2tlTBLz2w52rpGCLBGyGw6,https://api.spotify.com/v1/audio-analysis/18lR4BzEs7e3qzc0KVkTpU,['6XyY86QOPPrYVGvF9ch6wz'],"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",AR,0.623,1.0,205613.0,0.93,https://api.spotify.com/v1/tracks/18lR4BzEs7e3qzc0KVkTpU,18lR4BzEs7e3qzc0KVkTpU,1.64e-06,5.0,0.138,-5.285,"

In this farewell
There's no blood, there's no alibi
'Cause I've drawn regret
From the truth of a thousand lies
So let mercy come and wash away

What I've done
I'll face myself
To cross out what I've become
Erase myself
And let go of what I've done

Put to rest what you thought of me
While I clean this slate
With the hands of uncertainty
So let mercy come and wash away

What I've done
I'll face myself
To cross out what I've become
Erase myself
And let go of what I've done

For what I've done
I start again
And whatever pain may come
Today this ends
I'm forgiving what I've done

What I've done
I'll face myself
To cross out what I've become
Erase myself
And let go of what I've done

(Na-na na na)
(Na-na na na)
(Na-na na na)
What I've done
(Na-na na na)
(Na-na na na)
(Na-na na na)
Forgiving what I've done
(Na-na na na)
(Na-na na na)
(Na-na na na)
(Na-na na na)
",1.0,What I've Done,00s Rock Anthems,78.0,https://p.scdn.co/mp3-preview/b2bdf31db7c3a90dfa8f5c7539f8832c4089afe8?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0324,120.119,4.0,https://api.spotify.com/v1/tracks/18lR4BzEs7e3qzc0KVkTpU,track_18,6.0,spotify:track:18lR4BzEs7e3qzc0KVkTpU,0.287,track,rock
88721,0.00797,78guAsers0klWl6RwzgDLd,https://api.spotify.com/v1/audio-analysis/3YuaBvuZqcwN3CEAyyoaei,['2ziB7fzrXBoh1HUPS6sVFn'],"['AD', 'AE', 'AR', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",AR,0.614,1.0,293960.0,0.568,https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei,3YuaBvuZqcwN3CEAyyoaei,0.0,7.0,0.0997,-5.477,"

On a cobweb afternoon in a room full of emptiness
By a freeway, I confess I was lost in the pages
Of a book full of death, reading how we'll die alone
And if we're good, we'll lay to rest anywhere we want to go

In your house, I long to be
Room by room, patiently
I'll wait for you there, like a stone
I'll wait for you there, alone

And on my deathbed, I will pray to the gods and the angels
Like a pagan to anyone who will take me to heaven
To a place I recall, I was there so long ago
The sky was bruised, the wine was bled, and there you led me on

In your house, I long to be
Room by room, patiently
I'll wait for you there, like a stone
I'll wait for you there, alone, alone

And on I read, until the day was gone
And I sat in regret of all the things I've done
For all that I've blessed, and all that I've wronged
In dreams until my death, I will wander on

In your house, I long to be
Room by room, patiently
I'll wait for you there, like a stone
I'll wait for you there, alone, alone
",0.0,Like a Stone,00s Rock Anthems,76.0,https://p.scdn.co/mp3-preview/579efb4f465eeccae5aae9e7d14c0d566c8d5c8e?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0276,107.84899999999999,4.0,https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei,track_19,5.0,spotify:track:3YuaBvuZqcwN3CEAyyoaei,0.516,track,rock
88726,0.006659999999999999,5CTygC3aONv7l0klY4k3hc,https://api.spotify.com/v1/audio-analysis/0BRHnOFm6sjxN1i9LJrUDu,['5aYyPjAsLj7UzANzdupwnS'],"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",AR,0.494,1.0,175093.0,0.9390000000000001,https://api.spotify.com/v1/tracks/0BRHnOFm6sjxN1i9LJrUDu,0BRHnOFm6sjxN1i9LJrUDu,0.0,1.0,0.139,-3.127,"

Yeah
Here we go

It's a new day but it all feels old
""It's a good life"" – that's what I'm told
But every day, it all just feels the same
At my high school it felt more to me
Like a jail cell, a penitentiary
My time spent there – it only made me see
That I don't ever wanna be like you
I don't wanna do the things you do
I'm never gonna to hear the words you say and...

I don't ever wanna– I don't ever wanna be you
Don't wanna be just like you
Uh, what I'm saying is
This is the anthem, throw all your hands up
You, don't wanna be you

""Go to college or university
Get a real job"" – that's what they said to me
But I could never live the way they want
I'm going to get by And just do my time
Outta step while they all get in line
I'm just a minor threat so pay no mind
Do you really wanna to be like them?
Do you really wanna be another trend?
Do you wanna be part of that crowd? 'Cause...

I don't ever wanna– I don't ever wanna be you
Don't wanna be just like you
Uh, what I'm saying is
This is the anthem, throw all your hands up
You, don't wanna be you

Shake it once, that's fine
Shake it twice, that's okay
Shake it three times
You're playing with your self again
(You, don't wanna be just like you)
What I'm saying is
This is the anthem, throw all your hands up
Now you can feel me, sing if you're with me
You, don't wanna be just like you
(Just like you)
This is the anthem, throw all your hands up
Now you can feel me, sing if you're with me

Another loser anthem (wahoo)
Another loser anthem  (wahoo)
Another loser anthem  (wahoo)
Another loser anthem  (wahoo)
",1.0,The Anthem,00s Rock Anthems,73.0,https://p.scdn.co/mp3-preview/37bf3c2518b7d23df6df45e7d17a38dc313e8cae?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.126,177.75099999999998,4.0,https://api.spotify.com/v1/tracks/0BRHnOFm6sjxN1i9LJrUDu,track_22,2.0,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,0.893,track,rock
91602,0.005520000000000001,3id4t9IqRoB1f1smOERtrY,https://api.spotify.com/v1/audio-analysis/5GorCbAP4aL0EJ16frG2hd,['7oPftvlwr6VrsViSDV7fJY'],"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'KW', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",AR,0.496,1.0,262333.0,0.682,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,5GorCbAP4aL0EJ16frG2hd,2.94e-05,8.0,0.0589,-4.095,"

I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me, and I walk alone
I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk alone
I walk alone, I walk alone
I walk alone, I walk a-

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone

I'm walking down the line
That divides me somewhere in my mind
On the borderline
Of the edge and where I walk alone
Read between the lines
What's fucked up, and everything's all right
Check my vital signs
To know I'm still alive, and I walk alone
I walk alone, I walk alone
I walk alone, I walk a-

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone
I walk alone, I walk a-


I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk a-

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone

",1.0,Boulevard of Broken Dreams,00s Rock Anthems,75.0,https://p.scdn.co/mp3-preview/4cca71d6143e48f9c2e1420ce743986a45fe6dbf?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0294,167.06,4.0,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,track_4,14.0,spotify:track:5GorCbAP4aL0EJ16frG2hd,0.474,track,rock
91606,0.000138,1SPzhFzjXrz9OXLP2rKg1C,https://api.spotify.com/v1/audio-analysis/5vfjUAhefN7IjHbTvVCT4Z,['7oPftvlwr6VrsViSDV7fJY'],"['AD', 'AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']",AR,0.5379999999999999,1.0,233027.0,0.884,https://api.spotify.com/v1/tracks/5vfjUAhefN7IjHbTvVCT4Z,5vfjUAhefN7IjHbTvVCT4Z,0.0,8.0,0.466,-3.2510000000000003,"

I've got another confession to make, I'm your fool
Everyone's got their chains to break, holdin' you
Were you born to resist or be abused?

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?

Are you gone and on to someone new?
I needed somewhere to hang my head without your noose
You gave me something that I didn't have, but had no use
I was too weak to give in, too strong to lose
My heart is under arrest again, but I break loose
My head is giving me life or death, but I can't choose
I swear I'll never give in, I refuse

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?
Has someone taken your faith?
It's real, the pain you feel
You trust, you must confess
Is someone getting the best
The best, the best, the best of you?
Oh, oh oh, oh oh

Has someone taken your faith?
It's real, the pain you feel
The life, the love you'd die to heal
The hope that starts the broken hearts
You trust, you must confess

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?

I've got another confession, my friend, I'm no fool
I'm getting tired of starting again somewhere new
Were you born to resist or be abused?
I swear I'll never give in, I refuse

Is someone getting the best
The best, the best, the best of you?
Is someone getting the best
The best, the best, the best of you?
Has someone taken your faith?
It's real, the pain you feel
You trust, you must confess
Is someone getting the best
The best, the best, the best of you?
",1.0,Holiday - Faded Ending,00s Rock Anthems,63.0,https://p.scdn.co/mp3-preview/0e1a3330527a1f570a4d1428f32be931c055232b?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.031,146.511,4.0,https://api.spotify.com/v1/tracks/5vfjUAhefN7IjHbTvVCT4Z,track_6,1.0,spotify:track:5vfjUAhefN7IjHbTvVCT4Z,0.736,track,rock
91611,0.00461,38pfSOHvxHqDWwDnjZ25U5,https://api.spotify.com/v1/audio-analysis/6rUp7v3l8yC4TKxAAR5Bmx,['2xiIXseIJcq3nG7C8fHeBj'],"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",AR,0.498,1.0,231480.0,0.83,https://api.spotify.com/v1/tracks/6rUp7v3l8yC4TKxAAR5Bmx,6rUp7v3l8yC4TKxAAR5Bmx,0.0,6.0,0.139,-5.157,"

Every time we lie awake
After every hit we take
Every feeling that I get
But I haven't missed you yet
Every roommate kept awake
By every sigh and scream we make
All the feelings that I get
But I still don't miss you yet
Only when I stop to think about it

I hate everything about you
Why do I love you?
I hate everything about you
Why do I love you?

Every time we lie awake
After every hit we take
Every feeling that I get
But I haven't missed you yet
Only when I stop to think about it

I hate everything about you
Why do I love you?
I hate everything about you
Why do I love you?

Only when I stop to think about you, I know
Only when you stop to think about me, do you know?

I hate everything about you
Why do I love you?
You hate everything about me
Why do you love me?
I hate, you hate
I hate, you love me
I hate everything about you
Why do I love you?
",0.0,I Hate Everything About You,00s Rock Anthems,75.0,https://p.scdn.co/mp3-preview/8893669447625edf76339cdd67a338dad034a7ea?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0421,89.34200000000001,4.0,https://api.spotify.com/v1/tracks/6rUp7v3l8yC4TKxAAR5Bmx,track_11,3.0,spotify:track:6rUp7v3l8yC4TKxAAR5Bmx,0.45299999999999996,track,rock
91614,0.00148,6NrLpQCPYrNS3kVWxDgIlg,https://api.spotify.com/v1/audio-analysis/305WCRhhS10XUcH6AEwZk6,['5ypxebeHEIXjMtJb17uJlI'],"['AD', 'AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",AR,0.613,1.0,213800.0,0.953,https://api.spotify.com/v1/tracks/305WCRhhS10XUcH6AEwZk6,305WCRhhS10XUcH6AEwZk6,0.000582,2.0,0.152,-3.435,"

Let go
So 1, 2, 3, take my hand and come with me
Because you look so fine
And I really wanna make you mine
I say you look so fine
That I really wanna make you mine

Oh 4, 5, 6, come on and get your kicks
Now you don't need that money
When you look like that, do you honey

Big black boots
Long brown hair
She's so sweet
With her get back stare

Well I could see, you home with me
But you were with another man, yeah
I know we ain't got much to say
Before I let you get away, yeah
I said, are you gonna be my girl

So 1, 2, 3, take my hand and come with me
Because you look so fine
And I really wanna make you mine
I say you look so fine
That I really wanna make you mine

Oh 4, 5, 6, come on and get your kicks
Now you don't need that money
With a face like that, do you

Big black boots
Long brown hair
She's so sweet
With her get back stare

Well I could see, you home with me
But you were with another man, yeah
I know we ain't got much to say
Before I let you get away, yeah
I said, are you gonna be my girl

Oh yeah, oh yeah, come on

I could see, you home with me
But you were with another man, yeah
I know we ain't got much to say
Before I let you get away, yeah
Uh, be my girl
Be my girl
Are you gonna be my girl, yeah
",1.0,Are You Gonna Be My Girl,00s Rock Anthems,77.0,https://p.scdn.co/mp3-preview/f0e6e6d1835303097ef22037f333f8c057463146?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0855,105.046,4.0,https://api.spotify.com/v1/tracks/305WCRhhS10XUcH6AEwZk6,track_23,2.0,spotify:track:305WCRhhS10XUcH6AEwZk6,0.537,track,rock
